Image and Tag Name,Number of unique CVEs,Low CVEs,Medium CVEs,High CVEs,Critical CVEs,Unassigned CVEs,Differing CVEs,Number of Pulls,Number of Repo Stars,Category,SubCategories,Size
bitnami/oauth2-proxy:7,57,34,5,1,1,0,16,93516558,43,verified,integration-and-delivery/networking/security,53666625
bitnami/redis:7.0.15-debian-12-r17,51,33,0,1,2,0,15,3208809198,281,verified,databases-and-storage/message-queues/monitoring-and-observability,49237148
balena/aarch64-supervisor:v12.10.3,243,9,54,70,18,92,0,298429942,3,verified,,25971219
grafana/grafana-image-renderer:master-2c1f7dd,70,36,20,9,2,1,2,231813856,25,verified,integration-and-delivery/monitoring-and-observability,396575213
mirantis/ucp-agent:3.6.15,25,7,7,1,0,3,7,257915768,0,verified,,24505455
bitnami/oauth2-proxy:7-debian-12,57,34,5,1,1,0,16,93516558,43,verified,integration-and-delivery/networking/security,53666625
grafana/loki:main-5a357ea,18,5,9,0,0,1,3,1824555956,245,verified,databases-and-storage/integration-and-delivery/monitoring-and-observability,26910523
circleci/openjdk:11.0-jdk-buster-node-browsers-legacy,2466,438,1285,469,44,73,157,61430343,11,verified,,1633186399
bitnami/apache:2.4-debian-12,75,45,3,4,1,1,21,70305598,93,verified,,73282470
rancher/local-path-provisioner:master-head-amd64,20,3,8,2,0,0,7,130522931,2,verified,,17837613
rancher/klipper-helm:v0.8.4-build20240523-arm,130,3,59,49,3,16,0,72854955,2,verified,,87714778
kong/kong-gateway:latest-ubuntu,35,20,15,0,0,0,0,803037512,42,verified,,222107262
rancher/calico-node:v3.17.2-amd64,309,50,110,96,8,16,29,80796457,3,verified,,58414962
cimg/ruby:3.3-node,879,156,576,66,5,67,9,169466204,10,verified,languages-and-frameworks/integration-and-delivery/security,883360339
jetbrains/youtrack:2024.1.32323,276,73,76,49,13,11,54,60450631,248,verified,content-management-system/integration-and-delivery,1035286641
rancher/shell:v0.2.1-rc.4,33,2,11,5,2,5,8,123849781,0,verified,,131096472
bitnami/cassandra:4.1,91,38,10,12,1,2,28,68757953,51,verified,data-science/databases-and-storage/internet-of-things,381498973
bitnami/wordpress:6,151,86,9,5,1,1,49,97796861,254,verified,content-management-system,213374080
newrelic/infrastructure-bundle:3.2.45,31,8,13,1,0,7,2,3151778042,11,verified,,186972169
circleci/python:3.9.9-buster-node-browsers-legacy,2584,476,1356,487,39,76,150,205659640,88,verified,,1159014165
bitnami/mongodb-exporter:0.40.0,56,33,5,1,1,0,16,69459681,12,verified,databases-and-storage/monitoring-and-observability,51479164
