Image and Tag Name,Number of unique CVEs,Low CVEs,Medium CVEs,High CVEs,Critical CVEs,Unassigned CVEs,Differing CVEs,Number of Pulls,Number of Repo Stars,Category,SubCategories,Size
postgis/postgis:15-master,287,132,13,34,7,0,101,189132103,228,sponsored,,194190250
linuxserver/sabnzbd:arm64v8-nightly-version-2a02c93e,8,3,3,1,0,0,1,700484624,616,sponsored,content-management-system/integration-and-delivery,68240538
apache/couchdb:3.2,127,58,16,7,2,0,44,64452832,24,sponsored,data-science/databases-and-storage,89304824
fluent/fluent-bit:3.0,38,21,0,1,1,0,15,14427050361,108,sponsored,integration-and-delivery/internet-of-things/monitoring-and-observability,2189497603
selenium/hub:4.21,37,22,15,0,0,0,0,204244449,453,sponsored,integration-and-delivery/monitoring-and-observability/networking,186654869
linuxserver/ombi:version-v4.43.5,23,18,5,0,0,0,0,966346568,460,sponsored,content-management-system/integration-and-delivery/web-servers,146440603
linuxserver/duckdns:version-72e081dd,16,3,8,1,0,3,1,208051434,393,sponsored,internet-of-things/networking,14520253
homeassistant/home-assistant:2024.6,131,12,31,52,8,16,12,673848814,2809,sponsored,integration-and-delivery/internet-of-things/security,504366234
linuxserver/sabnzbd:nightly-2a02c93e-ls30,9,4,3,1,0,0,1,700484624,616,sponsored,content-management-system/integration-and-delivery,70613734
photoprism/photoprism:240531,660,121,445,10,1,82,1,44324507,371,sponsored,content-management-system/machine-learning-and-ai/web-servers,738225325
openpolicyagent/opa:edge-debug,2,0,0,2,0,0,0,579169624,42,sponsored,integration-and-delivery/monitoring-and-observability/security,48259575
jellyfin/jellyfin:10.9.6,85,49,3,3,1,1,28,243549427,1189,sponsored,content-management-system/web-servers,394968288
redash/redash:preview,907,131,666,64,2,9,35,61364081,252,sponsored,data-science/web-analytics,899050864
linuxserver/sickrage:amd64-latest,487,25,203,194,46,9,10,41272524,144,sponsored,,116800147
istio/proxy_debug:1.3.8,1874,465,1200,135,0,74,0,41655013,5,sponsored,integration-and-delivery/monitoring-and-observability/networking,263955583
tensorflow/serving:nightly,18,15,3,0,0,0,0,76028363,138,sponsored,api-management/integration-and-delivery/machine-learning-and-ai,174218114
envoyproxy/envoy-alpine:v1.21.6,67,7,15,6,9,28,2,204934493,61,sponsored,,30165236
linuxserver/letsencrypt:arm32v7-version-1.11.0,350,25,114,146,54,9,2,400686080,596,sponsored,,84959640
linuxserver/headphones:arm64v8-latest,84,7,23,13,2,35,4,88886603,221,sponsored,,66883126
linuxserver/muximux:arm32v7-version-418923c8,95,6,32,42,15,0,0,104242833,168,sponsored,,22722290
linuxserver/duplicati:development,32,19,8,5,0,0,0,176622762,395,sponsored,databases-and-storage/security,137987701
kindest/kindnetd:v20230809-80a64d96,67,19,17,9,4,0,18,35765593,3,sponsored,integration-and-delivery/networking/security,27734263
selenium/node-chrome-debug:3,567,161,378,19,0,2,7,50148895,73,sponsored,,435748644
linuxserver/nzbhydra2:version-v7.1.0,39,21,18,0,0,0,0,165170816,104,sponsored,integration-and-delivery/monitoring-and-observability,256695260
linuxserver/grocy:arm64v8-4.2.0,26,3,18,1,0,4,0,54696470,150,sponsored,content-management-system,67194041
homeassistant/amd64-hassio-supervisor:2023.06.1,314,28,108,100,13,51,14,46215560,153,sponsored,,116763787
selenium/node-firefox:beta,185,85,93,7,0,0,0,69912463,151,sponsored,integration-and-delivery/operating-systems/web-servers,534423662
linuxserver/sabnzbd:arm64v8-nightly,5,3,1,1,0,0,0,700484624,616,sponsored,content-management-system/integration-and-delivery,68240538
linuxserver/syncthing:amd64-1.27.8,1,0,1,0,0,0,0,203395954,556,sponsored,networking/security,22707921
linuxkit/kernel:6.6.13-dbg-e274bc71d6552570c922d2fca6c6481d1f9f045a,1,0,1,0,0,0,0,120664251,24,sponsored,internet-of-things/operating-systems/security,253528769
linuxserver/radarr:5.7.0-nightly,11,0,4,7,0,0,0,2308857071,1646,sponsored,,85843458
selenium/node-chrome-debug:3.141.59,567,161,378,19,0,2,7,50148895,73,sponsored,,435748644
linuxserver/unifi-controller:version-8.0.24,245,41,130,62,6,6,0,338735956,790,sponsored,,351230607
pihole/pihole:development-v6,18,4,8,1,0,4,1,852422372,2621,sponsored,monitoring-and-observability/networking/security,39374173
linuxserver/lazylibrarian:arm64v8-latest,48,25,19,3,0,1,0,237657888,215,sponsored,content-management-system/integration-and-delivery,136301894
